published,title,url,views
2016-09-09,"Leveraging Propagation for Data Mining: Models, Algorithms and Applications",http://videolectures.net/kdd2016_tutorial_leveraging_propagation,93
2015-10-02,"Okrogla miza ""Ali je lahko računalnik boljši od sodnika""",http://videolectures.net/okroglamizapravo2015_racunalnik_sodnik,93
2016-09-16,Introduction to Spark 2.0,http://videolectures.net/kdd2016_tutorial_introduction_to_spark,92
2015-07-15,Why Big Data Matters - a lot,http://videolectures.net/eswc2015_mayer_schoenberger_big_data,92
2015-04-24,Računalniška analiza velikih socialnih omrežij,http://videolectures.net/kolokviji_leskovec_analiza_socialnih_omrezij,91
2015-02-17,Analysis of epigenetics and chromatin states in normal and cancer cells,http://videolectures.net/mlpmsummerschool2014_boeva_epigenetics,90
2015-09-27,Spectral MLE: Top-K Rank Aggregation from Pairwise Comparisons,http://videolectures.net/icml2015_suh_spectral_mle,90
2016-10-06,Probability and statistics,http://videolectures.net/eswc2016_rupnik_probability_statistics,90
2015-07-02,Perinasal Indicators of Deceptive Behavior,http://videolectures.net/fgconference2015_dcosta_deceptive_behavior,90
2015-07-02,"Realistic Inverse Lighting from a Single 2D Image of a Face, Taken Under Unknown and Complex Lighting",http://videolectures.net/fgconference2015_shahlaei_complex_lighting,89
2016-09-09,IoT Big Data Stream Mining,http://videolectures.net/kdd2016_tutorial_big_data_stream_mining,89
2015-11-10,Building and Using a Knowledge Graph to Combat Human Trafficking ,http://videolectures.net/iswc2015_szekely_human_trafficking,89
2015-12-05,Gated Feedback Recurrent Neural Networks,http://videolectures.net/icml2015_chung_neural_networks,87
2016-09-27,node2vec: Scalable Feature Learning for Networks,http://videolectures.net/kdd2016_grover_feature_learning,87
2015-12-05,Social Interaction in Global Networks,http://videolectures.net/icml2015_kleinberg_social_interaction,86
2016-10-24,Learning without Forgetting,http://videolectures.net/eccv2016_li_without_forgetting,85
2016-10-24,Opening remarks,http://videolectures.net/eccv2016_opening,85
2016-02-10,Render for CNN: Viewpoint Estimation in Images Using CNNs Trained With Rendered 3D Model Views,http://videolectures.net/iccv2015_su_qi_viewpoint_estimation,84
2016-10-12,Node Representation in Mining Heterogeneous Information Networks,http://videolectures.net/kdd2016_sun_information_networks,84
2016-10-12,Serving a Billion Personalized News Feeds,http://videolectures.net/kdd2016_backstrom_news_feeds,83
2015-09-27,A Multitask Point Process Predictive Model,http://videolectures.net/icml2015_lian_predictive_model,83
2015-10-22,Information extraction with Linked Data,http://videolectures.net/eswc2015_augenstein_information_extraction,83
